,red_id,sede_id,tipo_red,url
245,246,ETUNE,facebook,https://www.facebook.com/ArgEnTunez/
246,247,ETUNE,twitter,https://www.twitter.com/EmbajadaTunez
247,248,ETUNE,instagram,https://www.instagram.com/embargentinatn
248,249,ETUNE,youtube,https://www.youtube.com/channel/UC8kSZug1SPHrp3r1hGzhjtg
249,250,EUCRA,facebook,https://www.facebook.com/ArgentinaEnUcrania
250,251,EUCRA,instagram,https://www.instagram.com/argenucrania/
251,252,EUNES,twitter,https://twitter.com/ArgentinaUNESCO
252,253,EUNES,facebook,https://www.facebook.com/delegation.argentine/
253,254,EUNGR,facebook,https://www.facebook.com/ArgentinaEnHungria
254,255,EUNGR,twitter,https://twitter.com/EmbArgHungria
255,256,EUNGR,instagram,https://www.instagram.com/argentinaenhungria/
256,257,EURUG,twitter,https://twitter.com/ArgentinaEnUru
257,258,EURUG,facebook,https://www.facebook.com/ArgentinaEnUru/
258,259,EURUG,instagram,https://www.instagram.com/argentinaenuru/
259,260,EVENE,twitter,https://twitter.com/argenvenezuela?lang=es
260,261,EVENE,facebook,https://www.facebook.com/EmbajadaArgentinaEnVenezuela
261,262,EVENE,instagram,https://www.instagram.com/argenvenezuela/
262,263,EVIET,facebook,https://www.facebook.com/ArgentinaEnVietnam/
263,264,EVIET,instagram,https://www.instagram.com/argenvietnam/
264,265,REPAL,facebook,https://www.facebook.com/ArgEnPalestina
